Rank,Title,RatingTomatometer,Genres
53,eraserhead,91,horror
54,it comes at night,87,horror
55,dawn of the dead,93,horror
56,don't breathe,88,horror
57,phantom of the opera,91,horror
58,we are still here,95,horror
59,the wicker man,90,horror
60,little shop of horrors,90,horror
61,the texas chainsaw massacre,88,horror
62,let me in,88,horror
63,frankenweenie,87,horror
64,upgrade,87,horror
65,halloween,79,horror
66,the blair witch project,87,horror
67,the exorcist,86,horror
68,the conjuring,86,horror
69,the dead zone,90,horror
70,bone tomahawk,91,horror
71,misery,89,horror
72,the shining,86,horror
73,cronos,90,horror
74,the orphanage,87,horror
75,28 days later,86,horror
76,gerald's game,90,horror
77,the devil's candy,91,horror
78,an american werewolf in london,88,horror
79,near dark,88,horror
80,poltergeist,86,horror
81,henry: portrait of a serial killer,86,horror
82,this is the end,83,horror
83,chronicle,85,horror
84,the descent,85,horror
85,the omen,86,horror
86,donnie darko: the director's cut,90,horror
87,save the green planet,90,horror
88,slither,86,horror
89,ginger snaps,89,horror
90,the autopsy of jane doe,87,horror
91,a field in england,88,horror
92,backcountry,89,horror
93,goodnight mommy,85,horror
94,altered states,86,horror
95,the thing,84,horror
96,better watch out,88,horror
97,they live,85,horror
98,the house of the devil,87,horror
99,the conjuring 2,80,horror
100,the others,84,horror
1,the wizard of oz,98,kids|family
2,inside out,98,kids|family
3,e.t. the extra-terrestrial,98,kids|family
4,coco,97,kids|family
5,paddington 2,100,kids|family
6,incredibles 2,94,kids|family
7,snow white and the seven dwarfs,98,kids|family
8,toy story 2,100,kids|family
9,up,98,kids|family
10,the jungle book,95,kids|family
11,toy story 3,98,kids|family
12,finding nemo,99,kids|family
13,pinocchio,100,kids|family
14,harry potter and the deathly hallows - part 2,96,kids|family
15,toy story,100,kids|family
16,the lego movie,96,kids|family
17,moana,95,kids|family
18,mary poppins,100,kids|family
19,miracle on 34th street,96,kids|family
20,it's a wonderful life,93,kids|family
21,ratatouille,96,kids|family
22,how to train your dragon,98,kids|family
23,the incredibles,97,kids|family
24,yellow submarine,97,kids|family
25,paddington,98,kids|family
26,beauty and the beast,94,kids|family
27,chicken run,97,kids|family
28,the princess bride,97,kids|family
29,my life as a zucchini,98,kids|family
30,101 dalmatians,98,kids|family
31,the nightmare before christmas,95,kids|family
32,big,97,kids|family
33,fantasia,96,kids|family
34,"monsters, inc.",96,kids|family
35,the lego batman movie,90,kids|family
36,the iron giant,96,kids|family
37,spirited away,97,kids|family
38,song of the sea,99,kids|family
39,who framed roger rabbit,97,kids|family
40,babe,97,kids|family
41,the lion king,93,kids|family
42,the muppets,95,kids|family
43,about elly,99,kids|family
44,wallace & gromit: the curse of the were-rabbit,95,kids|family
45,my fair lady,96,kids|family
46,the straight story,96,kids|family
47,hugo,93,kids|family
48,aladdin,94,kids|family
49,fantastic mr. fox,92,kids|family
50,enchanted,93,kids|family
51,frozen,90,kids|family
52,the breadwinner,95,kids|family
53,coraline,90,kids|family
54,lady and the tramp,93,kids|family
55,antz,93,kids|family
56,jason and the argonauts,93,kids|family
57,how to train your dragon 2,91,kids|family
58,bambi,90,kids|family
59,the secret of roan inish,95,kids|family
60,my neighbor totoro,94,kids|family
61,big hero 6,89,kids|family
62,harry potter and the prisoner of azkaban,90,kids|family
63,the little mermaid,92,kids|family
64,spy kids,93,kids|family
65,how green was my valley,90,kids|family
66,l'heure d'été,94,kids|family
67,pete's dragon,88,kids|family
68,a bug's life,92,kids|family
69,princess mononoke,92,kids|family
70,a monster calls,86,kids|family
71,arthur christmas,92,kids|family
72,harry potter and the goblet of fire,88,kids|family
73,james and the giant peach,92,kids|family
74,that thing you do!,93,kids|family
75,teen titans go! to the movies,91,kids|family
76,willy wonka and the chocolate factory,91,kids|family
77,ponyo,91,kids|family
78,shrek 2,89,kids|family
79,tangled,89,kids|family
80,first position,93,kids|family
81,shrek,88,kids|family
82,lassie,93,kids|family
83,duma,93,kids|family
84,winnie the pooh,91,kids|family
85,rango,88,kids|family
86,a christmas story,89,kids|family
87,paranorman,88,kids|family
88,the peanuts movie,87,kids|family
89,the sound of music,85,kids|family
90,kung fu panda,87,kids|family
91,wreck-it ralph,87,kids|family
92,millions,88,kids|family
93,the secret of kells,91,kids|family
94,howl's moving castle,87,kids|family
95,cinderella,84,kids|family
96,disneynature bears,91,kids|family
97,the muppet movie,88,kids|family
98,harry potter and the half-blood prince,83,kids|family
99,the karate kid,88,kids|family
100,freaky friday,87,kids|family
1,the wizard of oz,98,musical|performing_arts
2,singin' in the rain,100,musical|performing_arts
3,a hard day's night,98,musical|performing_arts
4,la la land,91,musical|performing_arts
5,pinocchio,100,musical|performing_arts
6,an american in paris,95,musical|performing_arts
7,the red shoes,96,musical|performing_arts
8,mary poppins,100,musical|performing_arts
9,gentlemen prefer blondes,98,musical|performing_arts
10,yellow submarine,97,musical|performing_arts
11,the umbrellas of cherbourg,98,musical|performing_arts
12,beauty and the beast,94,musical|performing_arts
13,20 feet from stardom,99,musical|performing_arts
14,the last waltz,98,musical|performing_arts
15,amy,95,musical|performing_arts
16,some like it hot,96,musical|performing_arts
17,fantasia,96,musical|performing_arts
18,sing street,95,musical|performing_arts
